run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
152-w,web,1,1,1,8,3,17.1285458778287,2.74293983494656,4.03314194121768,-1.07130717095119
153-w,web,1,1,1,2,2,15.1688038624148,2.45138582421952,2.42865090332254,-1.10010850685707
154-w,web,1,0,1,8,3,15.8576268495015,2.50168606087501,4.03147678258697,-1.13806065881064
155-w,web,1,1,0,2,2,13.8461300285939,1.97179788677711,2.44644410796788,-1.24445896995924
156-w,web,1,0,1,8,2,17.5672151478523,2.15618145668544,4.0359744148735,-1.15430135803201
157-w,web,1,0,1,8,3,15.8302078423701,2.40819145477113,4.03930481547177,-1.13910634569107
158-w,web,1,1,1,2,3,14.3983218482837,2.69189505710626,2.44212836967526,-1.08206983272846
159-w,web,1,1,0,8,2,16.4108469326426,1.94549658303098,4.03168834654501,-1.24139498839741
16-w,web,1,1,1,2,2,9.28942268837757,2.18295642344869,2.46074276163673,-1.24448499117289
160-w,web,1,0,0,8,2,15.5932252414248,1.69568924543398,4.04606485118158,-1.34801207775948
161-w,web,1,1,1,8,1,15.2734241946208,2.29696207564897,4.04520466782939,-1.12223773473725
162-w,web,1,1,1,2,2,15.1080637581153,2.45573142983432,2.44031792375143,-1.12830267872705
163-w,web,1,1,1,2,3,14.6234435405901,2.69519265155694,2.44015488882757,-1.07122292537239
164-w,web,1,1,1,2,3,14.5766510612556,2.69629630124865,2.43538722199114,-1.07860261983658
165-w,web,1,0,1,8,1,14.7054594661338,2.07161515438724,4.0389087409546,-1.19182273015462
166-w,web,1,1,1,2,3,14.846265591869,2.69959463654691,2.43876104551163,-1.06882516023453
167-w,web,1,1,1,8,3,17.4349725831737,2.74504841204711,4.03953116905867,-1.06853112729725
168-w,web,1,0,1,2,3,12.9424948586764,2.33661371819507,2.43496191839827,-1.15007316717306
169-w,web,1,1,1,8,1,15.1772184999408,2.30964793266315,4.04437973945959,-1.12940388398151
17-w,web,1,0,0,2,3,9.26699804968014,2.18295642344869,2.4535597288769,-1.24072160334136
170-w,web,1,1,0,2,2,13.8593955618003,1.98181728718056,2.4379171379803,-1.17347188210301
171-w,web,1,0,1,2,1,12.2162648058574,2.15090218029853,2.44862204914646,-1.17553769315538
172-w,web,1,1,1,2,1,12.8408691557697,2.26188917555321,2.44490850572311,-1.11972136873284
173-w,web,1,0,1,2,1,12.2614954378998,2.19793277664946,2.44362946611488,-1.18508084369444
174-w,web,1,1,0,8,2,16.4229212474779,1.94553389346036,4.03304034076483,-1.22725480843866
175-w,web,1,1,0,8,1,16.5019446792382,2.05855720837257,4.03382166774207,-1.12610450672985
176-w,web,1,0,1,8,3,15.9370750111222,2.41227091825316,4.03722451143678,-1.13831059662031
177-w,web,1,1,1,8,3,17.1236616384649,2.71007767244364,4.03886869435562,-1.07008636406424
178-w,web,1,1,1,8,2,17.8095460698686,2.44133977810174,4.02575460219023,-1.11040991799522
179-w,web,1,0,1,8,1,14.684993294719,2.06388186545056,4.03904961400118,-1.18720110420721
18-w,web,1,0,0,2,1,9.26981796151902,2.18295642344869,2.4531226348893,-1.23299622277562
180-w,web,1,1,1,8,3,17.1732951366888,2.74487919698279,4.03748874303744,-1.06909827473392
181-w,web,1,1,0,2,3,14.1851843197868,2.24889620318577,2.45263557906297,-1.19104653081537
182-w,web,1,0,1,2,3,13.3407612398064,2.31827144855518,2.4394652933629,-1.13922008538536
183-w,web,1,1,1,2,2,15.100146519688,2.4492070017486,2.43962623561287,-1.09451606422682
184-w,web,1,0,0,8,3,14.1814570172268,1.81479096896255,4.05513532424207,-1.35556727141183
185-w,web,1,0,0,8,1,14.0722969736538,1.94523541255419,4.04600899468813,-1.26389684723875
186-w,web,1,0,0,2,3,11.8166309741508,1.83316064536815,2.45912799778851,-1.35280342817216
187-w,web,1,0,1,2,1,12.1973701840535,2.08507264598725,2.45052264058918,-1.17942249636312
188-w,web,1,1,0,8,1,16.4765897808053,2.0641826046223,4.03716017575848,-1.12666472972696
189-w,web,1,1,0,2,2,13.8499193184979,1.98671717149048,2.4414858533736,-1.22491991417922
19-w,web,1,1,1,2,1,9.31520310057491,2.18295642344869,2.45588200573357,-1.23340620122679
190-w,web,1,0,1,2,3,13.1228062161107,2.32150318295415,2.44612952937068,-1.15108781552158
191-w,web,1,0,0,8,2,15.5839740664681,1.69623948590895,4.0479267215437,-1.34383146032475
192-w,web,1,1,0,2,2,13.8621654855432,1.99040868331219,2.44361091894771,-1.19992158637248
2-w,web,1,1,1,8,1,15.2134225365524,2.30451146207233,4.0432703653118,-1.10608660640775
20-w,web,1,0,0,8,1,11.5387254721674,2.18295642344869,4.04824815047918,-1.23720935442205
21-w,web,1,0,1,2,2,9.31154488460556,2.18295642344869,2.45128916047082,-1.23723511842453
22-w,web,1,0,1,2,1,9.28198183323413,2.19698530964869,2.45438802510147,-1.24079926990895
23-w,web,1,1,0,8,2,11.5154242837361,2.18458473778689,4.04894962763937,-1.24035926856789
